Designator,Mid X,Mid Y,Rotation,Layer
R34_2,121.06619,-69.895554,0.0,top
R34,197.649999,-83.1,90.0,top
R35_2,128.209047,-69.895554,0.0,top
R35,205.149999,-83.1,90.0,top
R36_2,135.351904,-69.895554,0.0,top
R36,212.649999,-83.1,90.0,top
R37,142.494761,-69.895554,0.0,top
R38,149.637618,-69.895554,0.0,top
R39,156.780475,-69.895554,0.0,top
R4_2,135.351904,-41.324125,0.0,top
R4,197.65,-45.6,90.0,top
R40,163.923332,-69.895554,0.0,top
R41,113.923333,-77.038411,0.0,top
R42,121.06619,-77.038411,0.0,top
R43,128.209047,-77.038411,0.0,top
R44,135.351904,-77.038411,0.0,top
R45,142.494761,-77.038411,0.0,top
R46,149.637618,-77.038411,0.0,top
R47,156.780475,-77.038411,0.0,top
R48,163.923332,-77.038411,0.0,top
R49,113.923333,-84.181268,0.0,top
R5_2,142.494761,-41.324126,0.0,top
R5,205.149999,-45.6,90.0,top
R50,121.06619,-84.181268,0.0,top
R51,128.211095,-84.181268,0.0,top
R52,135.353952,-84.181268,0.0,top
R53,142.496809,-84.181268,0.0,top
R54,149.639666,-84.181268,0.0,top
R55,156.782523,-84.181268,0.0,top
R56,163.92538,-84.181268,0.0,top
R57,113.925238,-91.324125,0.0,top
R58,121.068095,-91.324125,0.0,top
R59,128.211095,-91.324125,0.0,top
R6_2,149.637618,-41.324126,0.0,top
R6,212.649999,-45.6,90.0,top
R60,135.353952,-91.324125,0.0,top
R61,142.496809,-91.324125,0.0,top
R62,149.639523,-91.324125,0.0,top
R63,156.78238,-91.324125,0.0,top
R64,163.925237,-91.324125,0.0,top
R7_2,156.768571,-41.324126,0.0,top
R7,175.149999,-53.1,90.0,top
R8_2,163.911428,-41.324126,0.0,top
R8,182.649999,-53.1,90.0,top
R9_2,113.911429,-48.466983,0.0,top
R9,190.149999,-53.1,90.0,top
